epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
5.481599,0.083,0.201,1.219,0.100,0.080,0.089,0.992,0.121
5.521599,0.139,0.161,0.804,0.081,0.125,0.384,0.975,0.071
5.561599,0.184,0.447,0.762,0.102,0.169,0.257,1.054,0.068
5.601599,0.075,0.414,0.699,0.089,0.119,0.583,0.981,0.061
5.641599,0.187,0.210,1.386,0.097,0.116,0.396,1.062,0.140
5.681598999999999,0.170,0.237,1.228,0.092,0.429,0.236,0.949,0.124
5.721599,0.084,0.449,0.800,0.085,0.422,0.779,0.934,0.075
5.7615989999999995,0.160,0.584,0.954,0.082,0.256,0.153,0.987,0.070
5.8015989999999995,0.072,0.490,0.857,0.090,0.096,0.190,0.934,0.076
5.8415989999999995,0.097,0.126,0.737,0.085,0.174,0.375,0.989,0.067
5.881599,0.132,0.321,0.820,0.107,0.155,0.334,1.140,0.070
5.921599,0.098,0.569,1.096,0.094,0.083,0.282,1.025,0.102
5.961599,0.244,0.124,0.818,0.104,0.107,0.357,1.124,0.058
6.001599,0.195,0.224,0.837,0.092,0.131,0.173,1.057,0.068
6.031999,0.158,0.755,1.024,0.074,0.059,0.333,0.936,0.074
6.071999,0.112,0.234,0.790,0.099,0.154,0.276,1.051,0.069
6.111999,0.152,0.300,0.844,0.094,0.085,0.422,1.072,0.078
6.151999,0.073,0.367,0.973,0.083,0.258,0.919,0.953,0.083
6.191999,0.089,0.313,0.809,0.095,0.167,0.604,0.993,0.072
6.231999,0.136,0.314,0.750,0.084,0.139,0.293,0.945,0.061
6.271999,0.174,0.126,0.868,0.082,0.144,0.196,1.004,0.068
6.311999,0.108,0.299,1.130,0.100,0.055,0.291,1.137,0.095
6.351999,0.154,0.179,1.096,0.075,0.120,0.311,0.921,0.115
6.391999,0.069,0.280,0.872,0.096,0.135,0.192,1.011,0.072
6.431999,0.359,0.042,0.815,0.107,0.064,0.312,1.151,0.075
6.471998999999999,0.150,0.342,0.779,0.108,0.095,0.230,1.116,0.060
6.511999,0.152,0.720,0.784,0.085,0.337,0.798,0.941,0.070
6.5519989999999995,0.123,0.576,0.717,0.100,0.187,0.190,1.012,0.062
