epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
18.889599,0.152,0.316,0.686,0.087,0.158,0.236,0.937,0.063
19.038399,0.200,0.234,0.722,0.069,0.122,0.293,0.762,0.059
19.198399,0.164,0.234,0.776,0.075,0.183,0.256,0.853,0.072
19.358399,0.231,0.667,0.703,0.086,0.234,0.414,0.892,0.072
19.518399,0.193,0.275,0.652,0.077,0.160,0.631,0.797,0.066
19.678399,0.177,0.151,0.680,0.076,0.163,0.342,0.859,0.060
19.838399,0.190,0.266,0.658,0.068,0.109,0.382,0.811,0.056
19.998399,0.129,0.461,0.573,0.071,0.115,0.350,0.777,0.054
20.147199,0.252,0.961,0.771,0.069,0.199,0.249,0.817,0.066
20.307199,0.142,0.304,0.643,0.077,0.148,0.736,0.795,0.058
20.467198999999997,0.143,0.261,0.648,0.077,0.091,0.433,0.838,0.061
20.627198999999997,0.157,0.174,0.683,0.076,0.501,0.614,0.868,0.090
20.787198999999998,0.165,0.517,0.667,0.083,0.245,0.293,0.851,0.066
20.947198999999998,0.372,0.198,0.663,0.070,0.257,0.272,0.783,0.057
21.095999,0.144,0.305,0.660,0.075,0.247,0.277,0.768,0.060
21.255999,0.096,0.495,0.621,0.071,0.250,0.281,0.707,0.055
21.415999,0.188,0.158,0.545,0.074,0.246,0.264,0.709,0.052
21.575999,0.368,0.614,0.668,0.071,0.242,0.279,0.767,0.057
21.735999,0.270,1.194,0.594,0.077,0.244,0.260,0.765,0.050
21.895999,0.280,0.692,0.587,0.068,0.243,0.282,0.677,0.049
22.044798999999998,0.168,0.231,0.797,0.069,0.245,0.276,0.770,0.059
22.204798999999998,0.075,0.459,0.565,0.067,0.240,0.277,0.688,0.049
22.364798999999998,0.113,0.369,0.783,0.065,0.235,0.296,0.675,0.057
22.524798999999998,0.309,1.107,0.639,0.071,0.240,0.264,0.689,0.052
22.684798999999998,0.105,0.360,0.619,0.080,0.220,0.283,0.784,0.050
22.844799,0.126,0.253,0.576,0.074,0.224,0.311,0.728,0.048
23.004799,0.171,0.533,0.584,0.083,0.243,0.314,0.821,0.051
23.153599,0.136,0.235,0.713,0.076,0.221,0.321,0.733,0.063
23.313599,0.117,0.757,0.901,0.077,0.219,0.304,0.819,0.077
23.473599,0.136,0.630,0.623,0.073,0.253,0.360,0.767,0.056
23.633599,0.148,0.494,0.631,0.072,0.238,0.318,0.717,0.065
23.793599,0.102,0.496,0.928,0.071,0.229,0.272,0.728,0.086
23.953599,0.131,0.627,0.856,0.070,0.177,0.372,0.735,0.066
24.102399,0.209,1.036,0.751,0.070,0.217,0.369,0.728,0.064
24.262399,0.111,0.321,0.643,0.067,0.347,0.509,0.699,0.050
24.422399,0.107,0.376,0.662,0.063,0.203,0.343,0.681,0.055
24.582399,0.192,0.637,0.726,0.075,0.212,0.503,0.784,0.063
24.742399,0.162,0.734,0.738,0.072,0.369,0.422,0.739,0.054
24.902399,0.259,0.308,0.662,0.062,0.177,0.512,0.687,0.057
25.051199,0.117,0.654,0.675,0.062,0.234,0.490,0.663,0.064
25.211199,0.084,0.460,0.709,0.072,0.204,0.514,0.769,0.057
25.371199,0.102,0.646,0.690,0.085,0.256,0.383,0.874,0.058
25.531198999999997,0.112,0.178,0.695,0.089,0.186,0.323,0.795,0.059
25.691198999999997,0.188,0.198,0.713,0.064,0.171,0.353,0.705,0.057
25.851198999999998,0.116,0.520,0.605,0.070,0.149,0.383,0.774,0.051
26.011198999999998,0.201,0.648,0.646,0.067,0.108,0.277,0.735,0.059
26.159999,0.077,0.727,0.815,0.091,0.096,0.499,1.023,0.071
26.319999,0.130,0.339,0.667,0.072,0.344,0.766,0.769,0.057
26.479999,0.130,0.290,0.894,0.068,0.171,0.359,0.780,0.066
26.639999,0.220,0.297,0.638,0.065,0.107,0.486,0.789,0.058
26.799999,0.115,0.257,0.658,0.072,0.199,0.572,0.738,0.052
26.959999,0.118,0.578,0.665,0.078,0.135,0.389,0.798,0.056
27.108798999999998,0.167,0.255,0.661,0.069,0.135,0.295,0.729,0.054
27.268798999999998,0.138,0.479,0.703,0.069,0.118,0.460,0.773,0.064
27.428798999999998,0.159,0.245,0.652,0.065,0.124,0.306,0.734,0.058
27.588798999999998,0.223,1.019,0.722,0.061,0.172,0.456,0.712,0.057
27.748798999999998,0.112,0.570,0.718,0.064,0.167,0.292,0.704,0.053
27.908799,0.349,1.099,0.697,0.065,0.186,0.791,0.778,0.054
28.057599,0.284,0.295,0.588,0.089,0.123,0.315,0.904,0.053
28.217599,0.293,0.240,0.602,0.094,0.526,0.678,1.002,0.056
28.377599,0.252,0.255,0.601,0.064,0.190,0.294,0.714,0.047
28.537599,0.265,0.268,0.611,0.069,0.181,0.319,0.741,0.053
28.697599,0.255,0.257,0.533,0.064,0.268,0.145,0.681,0.052
28.857599,0.253,0.261,0.565,0.072,0.109,0.404,0.722,0.060
29.006399,0.254,0.255,0.477,0.070,0.217,0.423,0.772,0.046
29.166399,0.252,0.258,0.565,0.069,0.154,0.246,0.704,0.061
29.326399,0.244,0.263,0.550,0.062,0.123,0.777,0.741,0.050
29.486399,0.250,0.249,0.805,0.062,0.176,0.554,0.715,0.071
29.646399,0.247,0.269,0.713,0.060,0.182,0.710,0.686,0.065
29.806399,0.253,0.259,0.596,0.069,0.200,0.298,0.782,0.056
29.966399,0.244,0.273,0.587,0.063,0.153,0.724,0.756,0.054
30.115199,0.244,0.257,0.597,0.058,0.128,0.696,0.736,0.060
30.275199,0.248,0.257,0.507,0.062,0.152,0.901,0.720,0.047
30.435198999999997,0.239,0.268,0.538,0.067,0.102,0.570,0.770,0.048
30.595198999999997,0.243,0.268,0.568,0.059,0.129,0.213,0.668,0.062
30.755198999999998,0.241,0.270,0.502,0.060,0.127,0.303,0.692,0.047
30.915198999999998,0.243,0.266,0.578,0.068,0.139,0.667,0.810,0.055
31.063999,0.233,0.275,0.526,0.061,0.118,0.346,0.750,0.051
31.223999,0.229,0.266,0.583,0.055,0.183,0.852,0.677,0.062
31.383999,0.227,0.280,0.591,0.060,0.207,0.130,0.783,0.059
31.543999,0.226,0.361,0.541,0.062,0.099,0.540,0.739,0.052
31.703999,0.223,0.265,0.480,0.058,0.234,0.147,0.704,0.046
31.863999,0.237,0.243,0.547,0.069,0.130,0.448,0.819,0.050
32.012799,0.205,0.319,0.578,0.061,0.088,0.520,0.761,0.060
32.172799000000005,0.209,0.245,0.598,0.061,0.074,0.377,0.756,0.061
