epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
286,0.008,0.922,0.654,0.050,0.038,0.629,0.622,0.045
286,0.005,0.952,0.683,0.060,0.032,0.614,0.704,0.056
286,0.005,0.954,0.643,0.059,0.015,1.009,0.705,0.050
286,0.005,1.045,0.637,0.060,0.016,0.664,0.703,0.049
286,0.013,1.057,0.612,0.057,0.024,0.838,0.670,0.042
286,0.007,1.204,0.738,0.060,0.018,1.101,0.706,0.060
286,0.008,0.965,0.707,0.049,0.026,1.175,0.643,0.058
286,0.012,1.159,0.666,0.065,0.046,0.753,0.771,0.052
286,0.009,1.068,0.624,0.056,0.015,1.006,0.691,0.043
286,0.008,1.103,0.641,0.054,0.019,0.924,0.619,0.044
286,0.005,0.952,0.604,0.055,0.025,0.747,0.618,0.039
286,0.006,1.251,0.661,0.055,0.034,0.929,0.640,0.044
286,0.007,0.921,0.726,0.054,0.013,1.043,0.677,0.053
287,0.007,0.914,0.693,0.051,0.017,0.916,0.605,0.057
287,0.007,0.989,0.598,0.055,0.026,0.826,0.696,0.039
287,0.008,0.963,0.597,0.050,0.032,0.836,0.637,0.040
287,0.006,0.778,0.607,0.059,0.020,1.161,0.712,0.042
287,0.005,0.890,0.634,0.059,0.026,0.841,0.696,0.049
287,0.011,1.092,0.644,0.058,0.024,0.786,0.680,0.046
287,0.009,0.911,0.685,0.050,0.015,0.877,0.578,0.047
287,0.005,0.995,0.642,0.053,0.019,0.685,0.662,0.044
287,0.017,0.774,0.757,0.051,0.015,0.839,0.614,0.058
287,0.008,0.992,0.735,0.064,0.021,0.801,0.740,0.053
287,0.005,0.909,0.682,0.057,0.035,0.756,0.687,0.047
287,0.007,1.049,0.650,0.052,0.024,0.742,0.620,0.045
287,0.010,1.014,0.695,0.067,0.020,0.866,0.599,0.053
287,0.007,0.927,0.647,0.060,0.015,1.090,0.704,0.044
287,0.009,1.003,0.641,0.052,0.020,0.877,0.665,0.043
287,0.009,1.039,0.693,0.051,0.022,0.820,0.610,0.055
287,0.017,1.194,0.658,0.065,0.035,0.917,0.754,0.049
287,0.006,1.046,0.642,0.053,0.034,0.746,0.631,0.048
287,0.014,1.103,0.548,0.053,0.018,0.916,0.651,0.043
287,0.009,0.925,0.668,0.053,0.016,1.000,0.660,0.045
287,0.005,0.880,0.703,0.052,0.023,1.136,0.635,0.051
287,0.012,0.801,0.628,0.051,0.033,0.923,0.618,0.041
287,0.008,0.916,0.747,0.052,0.015,1.084,0.638,0.060
287,0.007,0.958,0.725,0.072,0.019,0.932,0.849,0.054
287,0.005,0.997,0.706,0.053,0.033,0.684,0.640,0.050
288,0.008,1.091,0.688,0.055,0.022,0.737,0.680,0.048
288,0.007,0.883,0.604,0.053,0.017,0.959,0.621,0.041
