epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
20.467198999999997,0.189,0.226,0.654,0.060,0.243,0.276,0.608,0.050
20.547199,0.100,0.450,0.834,0.093,0.245,0.269,0.825,0.053
20.627198999999997,0.105,0.606,0.677,0.086,0.237,0.293,0.836,0.046
20.707199,0.189,0.139,0.673,0.073,0.229,0.247,0.661,0.051
20.787198999999998,0.092,0.519,0.683,0.061,0.258,0.264,0.564,0.053
20.867199,0.184,0.750,0.696,0.075,0.243,0.267,0.746,0.048
20.947198999999998,0.147,0.389,0.699,0.067,0.242,0.270,0.683,0.051
21.015998999999997,0.092,0.349,0.791,0.063,0.264,0.307,0.631,0.065
21.095999,0.446,0.097,0.727,0.064,0.292,0.280,0.645,0.052
21.175998999999997,0.183,0.327,0.753,0.071,0.232,0.297,0.692,0.053
21.255999,0.091,0.290,0.776,0.066,0.232,0.326,0.697,0.056
21.335998999999997,0.185,0.659,0.801,0.077,0.244,0.322,0.692,0.062
21.415999,0.099,0.445,0.743,0.069,0.248,0.242,0.737,0.056
21.495998999999998,0.222,0.118,0.680,0.064,0.261,0.360,0.632,0.062
21.575999,0.121,0.580,0.710,0.069,0.245,0.234,0.671,0.051
21.655998999999998,0.068,0.335,0.759,0.063,0.226,0.233,0.619,0.063
21.735999,0.112,0.211,0.704,0.070,0.261,0.277,0.696,0.049
21.815998999999998,0.155,0.174,0.753,0.060,0.246,0.288,0.570,0.050
21.895999,0.287,0.075,0.710,0.068,0.248,0.364,0.729,0.048
21.975998999999998,0.089,0.396,0.711,0.061,0.257,0.212,0.615,0.051
22.044798999999998,0.068,0.374,0.735,0.066,0.253,0.328,0.679,0.055
22.124799,0.095,0.309,0.709,0.073,0.222,0.261,0.692,0.052
22.204798999999998,0.148,0.637,0.591,0.069,0.231,0.333,0.687,0.043
22.284799,0.162,0.813,0.640,0.075,0.437,0.414,0.731,0.049
22.364798999999998,0.116,0.334,0.678,0.068,0.223,0.270,0.667,0.050
22.444799,0.137,0.622,0.623,0.077,0.257,0.291,0.685,0.045
22.524798999999998,0.158,0.862,0.622,0.065,0.322,0.260,0.638,0.047
22.604799,0.093,0.361,0.684,0.078,0.233,0.324,0.757,0.050
22.684798999999998,0.128,0.184,0.729,0.069,0.244,0.331,0.742,0.055
22.764799,0.258,0.762,0.646,0.072,0.231,0.160,0.721,0.052
22.844799,0.089,0.444,0.702,0.104,0.206,0.343,1.034,0.053
22.924799,0.082,0.258,0.727,0.074,0.232,0.220,0.747,0.055
23.004799,0.080,0.463,0.795,0.070,0.176,0.342,0.790,0.059
23.073598999999998,0.110,0.407,0.698,0.090,0.248,0.341,0.927,0.054
23.153599,0.080,0.488,0.682,0.065,0.246,0.303,0.664,0.051
23.233598999999998,0.193,0.528,0.706,0.063,0.214,0.344,0.724,0.058
23.313599,0.112,0.304,0.787,0.059,0.201,0.304,0.675,0.052
23.393599,0.063,0.522,0.685,0.062,0.171,0.228,0.674,0.050
23.473599,0.095,0.671,0.758,0.062,0.268,0.576,0.720,0.053
23.553599,0.133,0.947,0.859,0.064,0.155,0.609,0.682,0.063
23.633599,0.080,0.476,0.687,0.068,0.106,0.446,0.770,0.049
23.713599,0.079,0.367,0.781,0.068,0.134,0.290,0.793,0.059
23.793599,0.117,0.576,0.710,0.078,0.123,0.395,0.867,0.053
23.873599,0.061,0.653,0.790,0.070,0.160,1.779,1.023,0.058
23.953599,0.084,0.391,0.957,0.094,0.031,0.261,1.171,0.073
24.022399,0.058,0.536,0.790,0.066,0.140,0.492,0.779,0.062
24.102399,0.110,0.277,0.850,0.071,0.139,0.206,0.879,0.079
24.182399,0.060,0.615,0.761,0.063,0.127,0.381,0.733,0.060
24.262399,0.342,0.785,0.650,0.078,0.247,0.102,0.867,0.048
24.342399,0.101,0.561,0.677,0.070,0.161,0.642,0.816,0.055
24.422399,0.119,0.163,0.989,0.060,0.257,0.697,0.756,0.082
24.502399,0.334,0.081,0.704,0.077,0.106,0.485,0.913,0.054
24.582399,0.153,0.336,1.033,0.073,0.123,0.739,0.807,0.091
24.662399,0.069,0.481,0.774,0.064,0.164,0.180,0.806,0.067
24.742399,0.048,0.375,0.698,0.078,0.080,0.639,0.858,0.053
24.822399,0.102,0.245,0.742,0.067,0.157,0.231,0.845,0.057
24.902399,0.094,0.875,0.844,0.062,0.114,0.286,0.761,0.068
24.982398999999997,0.147,0.895,0.965,0.071,2.444,2.364,1.014,0.082
25.051199,0.107,0.428,0.763,0.057,0.248,0.291,0.620,0.053
25.131199,0.059,0.613,0.810,0.059,0.259,0.235,0.654,0.065
25.211199,0.118,0.239,0.884,0.061,0.254,0.279,0.644,0.062
25.291199,0.184,0.901,0.760,0.071,0.257,0.264,0.677,0.060
25.371199,0.088,0.679,0.726,0.081,0.249,0.267,0.699,0.055
25.451199,0.141,0.210,0.725,0.071,0.252,0.273,0.679,0.054
25.531198999999997,0.069,0.599,0.653,0.062,0.251,0.263,0.624,0.050
25.611199,0.094,0.911,0.826,0.063,0.251,0.258,0.638,0.059
25.691198999999997,0.981,0.153,0.636,0.065,0.240,0.272,0.651,0.046
25.771199,0.271,0.246,0.606,0.067,0.238,0.301,0.652,0.046
25.851198999999998,0.278,0.290,0.650,0.057,0.241,0.301,0.577,0.052
25.931199,0.256,0.280,0.532,0.058,0.233,0.250,0.591,0.043
26.011198999999998,0.239,0.248,0.644,0.098,0.249,0.249,0.825,0.048
26.079998999999997,0.219,0.359,0.748,0.064,0.256,0.278,0.603,0.069
26.159999,0.213,0.329,0.711,0.065,0.246,0.212,0.619,0.059
26.239998999999997,0.194,0.268,0.613,0.055,0.235,0.282,0.580,0.046
26.319999,0.165,0.383,0.648,0.059,0.294,0.326,0.607,0.051
26.399998999999998,0.156,0.406,0.721,0.058,0.234,0.254,0.609,0.053
26.479999,0.118,0.277,0.657,0.075,0.241,0.309,0.702,0.047
26.559998999999998,0.091,0.308,0.643,0.058,0.223,0.308,0.613,0.045
26.639999,0.087,0.368,0.583,0.058,0.227,0.394,0.553,0.044
26.719998999999998,0.104,0.309,0.644,0.063,0.201,0.273,0.656,0.047
26.799999,0.113,0.282,0.648,0.061,0.209,0.297,0.606,0.049
26.879998999999998,0.125,0.736,0.670,0.061,0.210,0.348,0.620,0.050
26.959999,0.123,0.822,0.634,0.057,0.241,0.612,0.613,0.049
27.028799,0.112,0.363,0.717,0.055,0.375,0.310,0.621,0.060
27.108798999999998,0.174,0.214,0.608,0.056,0.189,0.388,0.603,0.047
27.188799,0.145,0.271,0.793,0.062,0.184,0.457,0.623,0.065
27.268798999999998,0.206,0.117,0.727,0.069,0.095,0.555,0.782,0.052
27.348799,0.081,0.607,0.682,0.065,0.273,0.260,0.668,0.050
27.428798999999998,0.090,0.680,0.741,0.080,0.109,0.522,0.803,0.055
27.508799,0.421,0.060,0.735,0.060,0.355,1.064,0.720,0.054
27.588798999999998,0.153,0.166,0.708,0.063,0.081,0.570,0.705,0.050
27.668799,0.064,0.324,0.742,0.067,0.166,0.766,0.753,0.055
27.748798999999998,0.089,0.730,0.721,0.067,0.095,0.298,0.777,0.054
27.828799,0.162,0.873,0.665,0.079,0.137,0.138,0.892,0.051
27.908799,0.090,0.626,0.694,0.068,0.092,0.774,0.781,0.049
27.988799,0.143,0.661,0.685,0.070,0.175,0.153,0.780,0.050
28.057599,0.157,0.136,0.661,0.063,0.088,0.190,0.770,0.052
28.137598999999998,0.192,0.214,0.752,0.067,0.173,0.290,0.769,0.058
